x,y,topic,cluster
11.646158,8.276191,"World War II, Woman's Land Army, Home Front, Agriculture, Women's Roles in War, Historical Photography",0
4.328267,9.538219,"19th Century History, Biographies, Historical Figures, Time Periods, Social Movements",3
9.077764,-0.89074564,"American Civil War, Utopian communities, Dialect recordings, Labor records, Folklife, World War I recordings, Historical documentation",1
-1.3469478,18.10931,"Copyright, Privacy rights, Library of Congress, Photographic archives, Historical photographs, Accessing primary sources, Reproduction guidelines, American Memory",2
4.456,8.827141,"Environmental Movement, History, United States, Primary Documents, Library of Congress, Archives",3
11.565257,8.546429,"World War I, Photography, Military History, Navy, Women's Contributions",0
9.503724,8.376256,"Photography, Social Media Impact, Modern History, Visual Documentation, History Studies",4
9.388427,8.430338,"black and white film, photography, visual history",4
-1.5751991,18.377014,"photographs, research instructions, Prints and Photographs Reading Room, location services",2
3.8752625,10.379493,"History, Social Rights, Social Movements, Legislation, Civil Rights, 20th Century History",10
11.293064,8.510118,"Andrew Jackson, Andrew Johnson, Anna E. Dickinson, Japanese-American internment, American history, Architecture and engineering, Recorded poetry and literature, Armenian rarities",0
-1.1843702,18.115294,"Copyright Law, U.S. Government, Interviews, Legal Rights, International Copyright",2
9.787806,7.905242,"Daguerreotypes, Defense Budget Reports, Nationalism, US Newspapers, Cultural Documentation",4
3.7959745,16.859627,"Women in Politics, Political Activism, Historical Photography, Women's Rights",5
11.455042,8.228721,"Gordon Parks, Farm Security Administration, Home Front, World War II, Photography, 1940s, Historical documentation",0
5.591153,9.820316,"Civil Rights History, Civil War Photography, Clara Barton, Code of Federal Regulations, Historical Documents, Primary Source Collections",6
5.5684543,9.738149,"primary sources, historical collections, newspaper directories, civil war documents, art and illustrations, biographies, exploration documentation",6
9.28301,-0.94912183,"Bess Lomax, Betty Herndon Maury, Blackwell Family Papers, Blair Family Papers, Blue Ridge Parkway Folklife Project, Slave Narratives, Historical documents, Folklife, American culture, National Endowment for the Arts",1
9.957823,-0.9828871,"Historical Preservation, Conservation, Folklife, Oral History, Cultural Heritage",1
11.635767,8.336989,"Film negatives, Historical documentation, United States history, Safety, World War II, Home front mobilization",0
8.800849,7.7596536,"Ex-slaves, Historical photography, American history, Social justice, Cultural heritage",4
5.6552796,9.669945,"Civil War history, Historical documents, American military history, Presidential papers, Ethnic arts in Chicago, Children's literature, Economic projects between China and Pakistan, Chinese literature, Rare books collections",6
9.369491,-0.929911,"Folk music, Alan Lomax, American history, Historical surveys, Cultural documentation",1
3.7058334,16.886444,"Women in Politics, Primary Source Documents, Historic Speeches, Social Justice, Political History",5
5.534094,10.303605,"Library of Congress, Events, News updates, Historical documents",6
7.6840887,15.13668,"Bangladeshi elections, Political history, Web archives, Election documentation, Political parties, Modern history",7
8.970298,7.8914833,"History, Photography, Military, Mayflower, World War I, Harris & Ewing, Naval History",4
3.837441,10.414088,"History of LGBTQ+ Activism, Newspapers, 20th Century, Cultural Narratives, Legal Documentation",10
6.5109453,2.9227514,"Colonial Maryland history, Narratives of voyages, Historical letters, 19th-century publications, Missionary accounts, Early American settlement",1
5.2510104,8.661529,"Washington History, Chesapeake Bay History, Local History Collections, Suffragist Movement, Historical Narratives, Cultural Documentation, 19th Century American History",3
5.7283173,9.929096,"Code of Federal Regulations, College Women's Association of Japan, Colorado Folklife Project, Comics Literature and Criticism, Confederate States of America Records, Coptic Orthodox Liturgical Chant, Copyright Historical Record Books, Coronavirus Web Archive",6
9.451479,8.774958,"Social Media, History, Political Issues, Cultural Issues, Ranching Culture, Baseball History, Web Archives, Art and Performance History",4
11.315061,8.242625,"Family, Fathers & Children, Florida, Group Portraits, Winter Park, Black-and-White Negatives, Farm Security Administration, Historical Photography, Education during WWII",0
5.5272503,9.25451,"slavery, first-person narratives, historical photographs, Library of Congress collections, social history, American history",-1
4.5980096,10.197097,"newspapers, historical documentation, United States Virgin Islands history, 20th century social movements, LGBTQ+ history context, St. Croix Avis newspaper, Chronicling America project, public domain resources",6
9.532212,8.2761965,"Photography, Cultural Studies, Historical Documentation, Social Interactions",4
11.221406,8.563236,"Japanese-American Internment, World War II, Social Justice, Civil Rights, Photography History",0
5.7520223,9.590679,"Battle of Gettysburg, American Civil War, Military History, Anniversaries, Historical Commemoration",6
10.029696,-1.0001588,"Historical Preservation, Conservation, Archival Studies, United States History",1
-1.778787,18.120417,"Copyright, Library of Congress, Photographs, Historical documentation, Media representation, Historical narratives",2
4.351992,9.01915,"Abolition movements, U.S. Congress, Historical speeches, Social justice, Civil rights, 19th century history",3
7.744161,15.265814,"Armenian history, Associated Press news dispatches, American history, Ballet and performance, Civil War music, Political history of Bangladesh, Web archiving, Historical photography",7
8.67866,7.7551284,"Paris Exposition 1900, African American history, Public opinion surveys, Historical photographs, Ethnographic research, Interviews",4
