,x,y,topic,cluster
0,3.960091,-1.5782622,"Mexican-American War, Treaty of Guadalupe Hidalgo, U.S.-Mexico relations, Historical treaties, Territorial cession, Diplomatic negotiations",2
1,14.750416,-2.9462142,"Declaration of Independence, American history, Founding documents, Colonial America, Revolutionary War",26
2,-3.251243,5.138157,"Indian Removal, Andrew Jackson, U.S. Congress, Native American history, 19th century American policy, Trail of Tears, Indian Removal Act, U.S. history",7
3,4.088091,-3.1941946,"Adams-Onis Treaty, U.S.-Spain relations, 19th century treaties, territorial boundaries, diplomatic agreements",2
4,11.334815,7.711385,"Social Media, Modern History, Impact of Communication Technologies, Digital Communication, Social Justice, Civic Engagement",15
5,-1.4447869,19.466158,"Frances Willard, Women's rights, Temperance, World's Woman's Christian Temperance Union, National Women's Christian Temperance Union, 1893 World Columbian Exposition",3
6,19.626442,3.825314,"Compromise of 1850, Slavery, National Expansion, Senate Resolutions, Legislative History, Fugitive Slave Act, California Statehood, Texas Boundary Dispute",5
7,-11.312501,7.759031,"History of Education, Science Education, 19th Century Education, Physical Forces, Michael Faraday, Scientific Lectures",1
8,10.961017,18.463346,"Abolitionism, William Lloyd Garrison, The Liberator, 19th Century American History, Social Justice, Historical Documents",17
9,-8.918581,-5.1255684,"Abigail Adams, John Adams, Historical correspondence, 18th century America, American Revolution",4
10,23.115084,-0.6867104,"Exodusters, African American migration, Great Plains, historical documents, photographs, newspaper articles, letters, broadside, maps, songs",6
11,17.183321,-3.7887018,"Whiskey Rebellion, George Washington, Founding Fathers, Presidents, U.S. History",27
12,13.90628,1.9038974,"Coinage, U.S. Treasury, Legislation, Silver Coins, Gold Coins, Mint Regulations, Legal Tender, Bullion Deposits",19
13,15.915073,5.5364575,"Progressivism (United States politics), History of the United States, Politics and government, 20th century United States politics",20
14,9.149386,18.293121,"Abraham Lincoln, Emancipation Proclamation, Civil War, American History, Slavery, Historical Documents",17
15,-2.1765902,8.148756,"Kublai Khan, Mongol Empire, Christianity, Patriarch election, Cultural exchange, Religious visions, Historical accounts, Trade networks",9
16,22.353497,4.677488,"Pacific Railway Act, Transcontinental Railroad, Legislation, U.S. History, Railroad Development, Civil War Era",5
17,-2.874275,3.199091,"Helen Hunt Jackson, A Century of Dishonor, U.S. government, Native American tribes, Indian affairs, historical accounts, treaties, massacres, social justice",7
18,20.772676,14.907996,"Homestead Strike, Labor Conflicts, William Weihe, Congressional Testimony, Pay Scale Changes, Pinkerton Detectives, Amalgamated Association of Iron and Steel Workers",13
19,19.221497,14.558017,"American working class, New York City history, Labor movements, 19th century America, Social history",13
20,-9.099043,-4.6379895,"John Adams, Slavery, Abolitionism, Historical Letters, American History, Quakers, 1801, Political Views",4
21,-10.8778,6.669942,"Philosophy, Ancient Greece, Anaximenes, Education, History of Science, Early Philosophers, Scientific Thought, Historical Texts",1
22,5.043108,11.908807,"American Drama, Theater History, Royall Tyler, Cultural Attitudes, 19th Century Literature",14
23,13.65075,7.003122,"African American history, Labor history, Women's history, Social history, Historical analysis",-1
24,14.894021,7.6576147,"McClure's Magazine, Periodicals, Historical Publications, American Literature, Intellectual Life",-1
25,15.584427,6.8321247,"Alexander Saxton, White Republic, Class Politics, Historical Analysis, 1990s Literature",20
26,-0.88163716,2.1363492,"Carlisle Indian School, Maggie Stands Looking, Indian education, assimilation policies, student experiences, historical letters, Caddo, Oneida, Outing System, Richard Pratt, Indian Helper newspaper",7
27,-1.1544749,1.6056852,"Zitkala-Sa, Indian boarding schools, Native American experiences, cultural assimilation, childhood memories, education, identity",7
28,12.694512,-0.07003812,"Federalism, Anti-Federalism, U.S. Constitution, Political Philosophy, Historical Documents",19
29,14.217402,5.4382033,"Environmental History, Environmental Policy, Primary Sources, History Documents, Legislation, Research Archives",-1
30,-0.59046257,20.863773,"World War II, Woman's Land Army, Home Front, Agriculture, Women's Roles in War, Historical Photography",3
31,18.733568,6.559123,"Imperialism, Capitalism, Economic Theory, Monopoly, Banking, Social Class, Historical Analysis",21
32,14.364775,-2.9113736,"Declaration of Independence, American history, Colonial grievances, Founding documents, Political philosophy",26
33,4.2559648,-1.1688685,"Mexican-American War, Abraham Lincoln, U.S. History, Political Debates, Texas Annexation, Boundary Disputes",2
34,16.11254,2.52406,"Election of 1876, Primary sources, Political campaigns, Historical documents, American history, Rutherford B. Hayes, Samuel J. Tilden",-1
35,9.440642,18.677477,"John Brown, Civil War, Slavery, Historical speeches, American history, Trial and justice",17
36,-3.6065311,17.212606,"Post-Colonial Studies, African Independence, Violence and Nationalism, All-African People's Conference, Historical Resolutions",8
37,14.076885,10.774863,"14th Amendment, Civil Rights, U.S. Constitution, Reconstruction, Citizenship, Legal Rights, Historical Context",22
38,19.245028,4.302617,"Compromise of 1850, Fugitive Slave Act, Slave Trade, U.S. Legislative History, 19th Century American History",5
39,-5.440774,17.631624,"Christopher Columbus, 1492 Voyage, Transatlantic Trade, Exploration, Colonialism, Native Inhabitants, Historical Accounts",8
40,13.10018,15.743632,"WPA Slave Narratives, Slavery, Personal Accounts, Historical Experiences, Life on Plantations, Emancipation, African American History",17
41,14.720311,13.228048,"Supreme Court, Ex Parte Milligan, Habeas Corpus, Military Law, Civil Rights, Legal Proceedings",23
42,13.74142,18.771069,"Booker T. Washington, Atlanta Compromise, Race relations, Economic cooperation, African American history, Southern United States, 1895 Exposition",17
43,22.659697,4.7575088,"Central Pacific Railroad, Leland Stanford, Chinese labor, 1865 railroad construction, U.S. history, Labor history",5
44,11.469847,18.095078,"Harriet Beecher Stowe, Uncle Tom's Cabin, Slavery, Fiction, Political fiction, American literature, 19th century literature",17
45,12.251843,12.630808,"Jim Crow laws, Segregation, Legal history, Civil rights, American history, Racial discrimination",23
46,16.461016,-3.1365113,"George Washington, Henry Knox, Shays' Rebellion, U.S. History, Constitutional Convention, Political History, Insurrection, Massachusetts, Federal Government",27
47,6.862157,0.5802435,"American History, Frontier Thesis, Frederick Jackson Turner, American Democracy, Westward Expansion",12
48,5.653657,0.06017914,"Manifest Destiny, John L. O'Sullivan, American Expansionism, Texas Annexation, 19th Century American History",12
49,23.50399,-1.5304369,"James Bridger, Westward Expansion, Oregon Trail, California Trail, Mormon Trail, Trappers and Guides, 19th Century American History",6
50,-4.4018545,15.76825,"African culture, Religion in West Africa, Slave trade, Colonialism, Personal narratives, Historical accounts, Cultural practices, Environmental impact",8
51,-1.619926,20.429594,"labor movements, manuscripts, original documents, historical accounts, government archives",-1
52,-11.172882,8.368688,"Electricity, Magnetism, Scientific Principles, Educational Demonstrations, Physics",1
53,13.294508,-2.920454,"Thomas Jefferson, Declaration of Independence, American history, Colonial America, Revolutionary War, Founding Fathers",26
54,3.8984587,-3.6239402,"Adams-Onis Treaty, Treaty of Amity, Territorial boundaries, United States history, Spanish history, Diplomatic agreements",2
55,22.09645,5.1282797,"Land Ordinance, United States Congress, Western Territory, Land Disposal, Surveying Regulations, Historical Legislation",5
56,13.61798,9.522852,"Reconstruction, Political history, Economic history, William Dunning, American history, Civil War aftermath",22
